id_reg_nat,time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),id_area
1201,2021-03-02,15.6,0.0,14.7,55,2.35,2
1202,2021-03-03,14.2,0.5,11.7,258,1.69,2
1203,2021-03-04,13.5,1.3,12.5,39,2.35,2
1204,2021-03-05,13.2,0.0,16.3,60,2.42,2
1205,2021-03-06,13.3,0.2,19.9,54,2.23,2
1206,2021-03-07,14.2,4.7,10.7,65,2.09,2
1207,2021-03-08,13.4,4.4,26.7,266,2.12,2
1208,2021-03-09,11.9,7.9,13.4,302,1.69,2
1209,2021-03-10,11.6,0.0,13.5,61,2.44,2
1210,2021-03-11,11.3,0.0,10.7,250,3.08,2
1211,2021-03-12,12.5,0.0,17.2,262,3.46,2
1212,2021-03-13,13.4,0.0,13.5,40,2.5,2
1213,2021-03-14,12.3,1.0,21.1,283,2.62,2
1214,2021-03-15,12.5,0.0,15.1,43,2.93,2
1215,2021-03-16,12.1,0.0,24.9,72,2.89,2
1216,2021-03-17,11.9,0.0,18.2,77,3.02,2
1217,2021-03-18,12.6,0.0,33.7,66,3.12,2
1218,2021-03-19,11.8,2.1,23.3,65,2.75,2
1219,2021-03-20,10.2,9.8,27.3,9,2.03,2
1220,2021-03-21,10.3,6.1,24.0,16,2.44,2
1221,2021-03-22,10.3,4.6,17.3,288,2.05,2
1222,2021-03-23,11.3,0.0,15.7,90,3.19,2
1223,2021-03-24,12.4,0.0,12.3,335,3.41,2
1224,2021-03-25,13.1,0.0,12.1,25,3.52,2
1225,2021-03-26,15.0,0.0,11.5,12,3.94,2
1226,2021-03-27,15.1,0.0,17.6,9,3.59,2
1227,2021-03-28,15.6,0.0,16.1,30,3.64,2
1228,2021-03-29,17.6,0.0,17.4,55,4.39,2
1229,2021-03-30,17.9,0.0,12.1,51,3.16,2
1230,2021-03-31,16.4,0.0,16.0,40,3.73,2
1231,2021-04-01,18.8,0.0,14.3,31,4.54,2
1232,2021-04-02,16.7,1.3,28.1,271,3.64,2
1233,2021-04-03,15.7,0.0,16.5,283,3.71,2
1234,2021-04-04,14.2,4.7,18.1,355,2.69,2
1235,2021-04-05,13.5,3.4,13.0,335,2.41,2
1236,2021-04-06,14.8,0.0,11.5,268,4.21,2
1237,2021-04-07,13.8,0.0,36.2,63,2.88,2
1238,2021-04-08,13.0,0.2,22.7,69,3.14,2
1239,2021-04-09,16.9,0.4,16.1,65,4.18,2
1240,2021-04-10,18.4,1.8,31.8,165,3.62,2
1241,2021-04-11,15.8,0.0,17.5,294,2.98,2
1242,2021-04-12,14.6,1.0,23.2,22,2.79,2
1243,2021-04-13,14.5,0.3,23.3,60,3.5,2
1244,2021-04-14,14.2,2.7,21.3,60,1.45,2
1245,2021-04-15,14.2,14.5,38.2,59,1.68,2
1246,2021-04-16,12.9,16.4,30.7,45,1.52,2
1247,2021-04-17,11.4,6.6,9.7,325,2.75,2
1248,2021-04-18,11.5,0.4,13.8,61,3.48,2
1249,2021-04-19,12.9,0.0,10.4,71,3.86,2
1250,2021-04-20,15.4,0.0,11.4,329,4.21,2
1251,2021-04-21,16.0,0.0,17.0,278,3.46,2
1252,2021-04-22,15.4,2.2,11.5,304,2.02,2
1253,2021-04-23,14.9,0.9,18.6,48,3.24,2
1254,2021-04-24,15.7,0.0,21.9,55,3.7,2
1255,2021-04-25,23.1,0.0,28.4,115,6.21,2
1256,2021-04-26,18.3,0.0,27.8,286,3.95,2
1257,2021-04-27,17.6,0.6,19.7,266,3.56,2
1258,2021-04-28,17.2,0.3,20.2,282,4.14,2
1259,2021-04-29,17.7,0.8,20.5,282,4.47,2
1260,2021-04-30,16.7,0.4,14.1,341,3.56,2
1261,2021-05-01,16.6,0.4,31.8,266,3.78,2
1262,2021-05-02,16.1,1.6,18.8,56,3.72,2
1263,2021-05-03,16.8,1.6,29.1,58,3.06,2
1264,2021-05-04,17.1,3.7,16.4,21,2.48,2
1265,2021-05-05,17.2,0.8,15.5,40,3.02,2
1266,2021-05-06,16.6,0.1,16.2,42,2.75,2
1267,2021-05-07,18.7,0.0,11.0,335,5.07,2
1268,2021-05-08,21.1,0.0,20.9,60,5.67,2
1269,2021-05-09,25.7,0.0,26.9,193,7.33,2
1270,2021-05-10,19.5,2.5,26.4,293,4.17,2
1271,2021-05-11,17.7,0.5,30.4,267,5.01,2
1272,2021-05-12,16.9,0.0,17.1,281,5.02,2
1273,2021-05-13,18.5,0.0,22.2,277,5.25,2
1274,2021-05-14,18.3,0.0,28.4,308,4.88,2
1275,2021-05-15,19.9,0.0,12.4,23,5.32,2
1276,2021-05-16,23.1,0.0,15.9,280,6.38,2
1277,2021-05-17,20.4,0.0,21.2,36,4.94,2
1278,2021-05-18,19.1,0.0,15.5,43,4.54,2
1279,2021-05-19,18.9,0.0,21.4,44,4.55,2
1280,2021-05-20,18.2,0.0,26.6,62,4.81,2
1281,2021-05-21,20.4,0.0,12.3,19,5.37,2
1282,2021-05-22,20.8,0.0,14.8,17,5.16,2
1283,2021-05-23,19.6,1.5,23.1,33,3.66,2
1284,2021-05-24,18.7,1.2,24.5,282,4.66,2
1285,2021-05-25,17.9,0.1,28.5,57,4.25,2
1286,2021-05-26,18.8,0.7,24.2,56,3.81,2
1287,2021-05-27,19.0,0.5,26.1,55,3.36,2
1288,2021-05-28,18.8,0.0,22.0,318,2.72,2
1289,2021-05-29,18.7,0.0,14.1,29,4.37,2
1290,2021-05-30,18.8,0.0,18.2,45,4.39,2
1291,2021-05-31,21.7,0.0,13.8,8,3.61,2
1292,2021-06-01,24.3,0.0,17.4,317,4.12,2
1293,2021-06-02,20.9,0.0,16.8,9,5.08,2
1294,2021-06-03,20.7,0.0,19.8,42,4.37,2
1295,2021-06-04,21.0,3.3,24.8,270,3.04,2
1296,2021-06-05,20.9,2.1,23.1,33,3.55,2
1297,2021-06-06,20.2,6.6,14.3,355,3.02,2
1298,2021-06-07,19.8,0.0,17.9,47,4.71,2
1299,2021-06-08,20.9,0.0,21.1,40,5.05,2
1300,2021-06-09,21.7,0.0,18.1,39,5.7,2
1301,2021-06-10,22.6,0.0,24.9,48,6.31,2
1302,2021-06-11,22.8,0.0,26.3,50,6.35,2
1303,2021-06-12,22.3,0.0,27.2,52,5.75,2
1304,2021-06-13,21.5,0.0,20.2,43,4.94,2
1305,2021-06-14,22.9,0.0,21.7,40,6.04,2
1306,2021-06-15,24.6,0.0,29.0,50,6.55,2
1307,2021-06-16,23.3,0.0,20.3,303,5.68,2
1308,2021-06-17,22.8,0.0,30.3,295,4.71,2
1309,2021-06-18,22.1,0.0,17.9,26,4.72,2
1310,2021-06-19,22.5,0.0,23.1,292,4.63,2
1311,2021-06-20,22.4,0.0,22.1,269,4.78,2
1312,2021-06-21,22.4,0.0,14.5,317,5.56,2
1313,2021-06-22,22.0,0.0,17.2,296,5.37,2
1314,2021-06-23,21.6,0.0,15.5,317,4.98,2
1315,2021-06-24,21.8,0.0,25.4,51,4.82,2
1316,2021-06-25,22.6,0.1,26.9,54,4.46,2
1317,2021-06-26,21.9,0.2,19.3,40,3.81,2
1318,2021-06-27,22.1,0.0,13.4,5,5.04,2
1319,2021-06-28,23.1,0.0,16.3,357,5.17,2
1320,2021-06-29,23.0,0.0,15.7,355,5.3,2
1321,2021-06-30,22.8,0.3,21.2,51,4.7,2
1322,2021-07-01,22.4,0.0,18.0,35,5.16,2
1323,2021-07-02,23.3,0.0,18.2,301,5.17,2
1324,2021-07-03,24.4,0.0,11.6,3,5.48,2
1325,2021-07-04,25.8,0.0,21.8,285,6.39,2
1326,2021-07-05,24.8,0.0,14.2,32,5.97,2
1327,2021-07-06,27.2,0.0,17.9,280,6.72,2
1328,2021-07-07,25.4,0.0,18.6,308,4.82,2
1329,2021-07-08,24.0,0.7,23.4,39,3.46,2
1330,2021-07-09,24.2,0.4,28.1,57,4.75,2
1331,2021-07-10,24.0,0.0,19.1,47,5.09,2
1332,2021-07-11,26.3,0.0,13.2,20,6.13,2
1333,2021-07-12,28.3,0.0,24.4,268,6.02,2
1334,2021-07-13,24.0,1.5,35.3,356,4.51,2
1335,2021-07-14,22.4,0.0,19.6,45,5.42,2
