ID_IAREA,NAME,LATITUDE,LONGITUDE,COUNTRY,id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
1,BHOPAL,23.25469,77.40289,INDIA,61,2021-01-18,21.7,0.1,14.1,192,2.95,1
1,BHOPAL,23.25469,77.40289,INDIA,62,2021-01-19,20.7,0,13.4,322,3.26,1
1,BHOPAL,23.25469,77.40289,INDIA,63,2021-01-20,17.9,0,11.4,32,3.42,1
1,BHOPAL,23.25469,77.40289,INDIA,64,2021-01-21,19.9,0,10.2,54,3.79,1
1,BHOPAL,23.25469,77.40289,INDIA,65,2021-01-22,18.3,0,10.7,120,3.86,1
1,BHOPAL,23.25469,77.40289,INDIA,66,2021-01-23,19.6,0,14.2,249,3.9,1
1,BHOPAL,23.25469,77.40289,INDIA,67,2021-01-24,18.3,0,14.5,332,3.69,1
1,BHOPAL,23.25469,77.40289,INDIA,68,2021-01-25,16.3,0,15.3,34,3.06,1
1,BHOPAL,23.25469,77.40289,INDIA,69,2021-01-26,14.6,0,10.9,43,3.05,1
1,BHOPAL,23.25469,77.40289,INDIA,70,2021-01-27,13.7,0,12.3,43,3.42,1
1,BHOPAL,23.25469,77.40289,INDIA,71,2021-01-28,15.2,0,13.2,35,3.24,1
1,BHOPAL,23.25469,77.40289,INDIA,72,2021-01-29,13.5,0,12.8,43,3.45,1
1,BHOPAL,23.25469,77.40289,INDIA,73,2021-01-30,13.9,0,10.9,68,3.74,1
1,BHOPAL,23.25469,77.40289,INDIA,74,2021-01-31,15.2,0,11.2,74,3.93,1
1,BHOPAL,23.25469,77.40289,INDIA,75,2021-02-01,17.2,0,12.3,86,4.09,1
1,BHOPAL,23.25469,77.40289,INDIA,76,2021-02-02,19,0,12.6,151,4.26,1
1,BHOPAL,23.25469,77.40289,INDIA,77,2021-02-03,20.6,0,12.3,179,4.9,1
1,BHOPAL,23.25469,77.40289,INDIA,78,2021-02-04,20.7,0,21.3,218,4.93,1
1,BHOPAL,23.25469,77.40289,INDIA,79,2021-02-05,18,0,18.1,9,3.53,1
1,BHOPAL,23.25469,77.40289,INDIA,80,2021-02-06,16.3,0,17.9,33,3.91,1
1,BHOPAL,23.25469,77.40289,INDIA,81,2021-02-07,16.4,0,11.3,57,3.96,1
1,BHOPAL,23.25469,77.40289,INDIA,82,2021-02-08,18.4,0,10.2,40,4.05,1
1,BHOPAL,23.25469,77.40289,INDIA,83,2021-02-09,19.9,0,9.4,141,4.03,1
1,BHOPAL,23.25469,77.40289,INDIA,84,2021-02-10,20.7,0,10.8,344,4.4,1
1,BHOPAL,23.25469,77.40289,INDIA,85,2021-02-11,20.2,0,11.7,42,4.53,1
1,BHOPAL,23.25469,77.40289,INDIA,86,2021-02-12,20.4,0,12.5,60,4.81,1
1,BHOPAL,23.25469,77.40289,INDIA,87,2021-02-13,21.6,0,12.5,87,4.59,1
1,BHOPAL,23.25469,77.40289,INDIA,88,2021-02-14,22.6,0,11.2,169,4.41,1
1,BHOPAL,23.25469,77.40289,INDIA,89,2021-02-15,22.7,0,14.8,284,4.64,1
1,BHOPAL,23.25469,77.40289,INDIA,90,2021-02-16,21.1,1.1,21,245,3.87,1
1,BHOPAL,23.25469,77.40289,INDIA,91,2021-02-17,21.1,0,12.4,152,4.1,1
1,BHOPAL,23.25469,77.40289,INDIA,92,2021-02-18,20.8,0.1,15.3,98,3.78,1
1,BHOPAL,23.25469,77.40289,INDIA,93,2021-02-19,20.4,0,13.2,44,5.11,1
1,BHOPAL,23.25469,77.40289,INDIA,94,2021-02-20,20.1,0,15.4,59,5.03,1
1,BHOPAL,23.25469,77.40289,INDIA,95,2021-02-21,21.5,0,11.8,49,4.97,1
1,BHOPAL,23.25469,77.40289,INDIA,96,2021-02-22,22.4,0,9.8,9,4.81,1
1,BHOPAL,23.25469,77.40289,INDIA,97,2021-02-23,23,0,12.4,210,4.99,1
1,BHOPAL,23.25469,77.40289,INDIA,98,2021-02-24,24.1,0,13.1,267,5.33,1
1,BHOPAL,23.25469,77.40289,INDIA,99,2021-02-25,24.7,0,16.9,287,6.27,1
1,BHOPAL,23.25469,77.40289,INDIA,100,2021-02-26,24.6,0,15.1,281,6.29,1
1,BHOPAL,23.25469,77.40289,INDIA,101,2021-02-27,25.6,0,14.5,279,5.81,1
1,BHOPAL,23.25469,77.40289,INDIA,102,2021-02-28,25.6,0,16.3,291,5.77,1
1,BHOPAL,23.25469,77.40289,INDIA,103,2021-03-01,24.8,0,18.3,316,6.56,1
1,BHOPAL,23.25469,77.40289,INDIA,104,2021-03-02,22.5,0,11.6,34,5.41,1
1,BHOPAL,23.25469,77.40289,INDIA,105,2021-03-03,23.9,0,10.6,100,5.5,1
1,BHOPAL,23.25469,77.40289,INDIA,106,2021-03-04,25.6,0,15,245,6.93,1
1,BHOPAL,23.25469,77.40289,INDIA,107,2021-03-05,25.3,0,20.7,317,7.21,1
1,BHOPAL,23.25469,77.40289,INDIA,108,2021-03-06,26.1,0,14.7,267,6.67,1
