,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
79,1970-03-20 18:30:00,23.706419,0.0,9.72,6.161733
80,1970-03-21 18:30:00,25.385582,0.0,11.631956,6.402844
81,1970-03-22 18:30:00,25.766836,0.0,12.6462,6.7320566
82,1970-03-23 18:30:00,26.427252,0.0,10.365251,6.6728697
83,1970-03-24 18:30:00,27.414747,0.0,11.183201,6.7897873
84,1970-03-25 18:30:00,28.639748,0.0,11.726277,6.8168497
85,1970-03-26 18:30:00,29.51267,0.0,18.806337,8.851784
86,1970-03-27 18:30:00,29.864752,0.0,19.914215,9.4484825
87,1970-03-28 18:30:00,29.231417,0.0,19.8,9.042179
88,1970-03-29 18:30:00,27.708498,0.0,14.512064,8.346767
89,1970-03-30 18:30:00,26.671,0.0,14.917212,7.194203
90,1970-03-31 18:30:00,26.29808,0.0,12.55879,7.1691074
91,1970-04-01 18:30:00,26.63558,0.0,12.496718,6.5955367
92,1970-04-02 18:30:00,27.706415,0.0,12.4811535,7.2194986
93,1970-04-03 18:30:00,27.191832,0.0,18.556595,6.892358
94,1970-04-04 18:30:00,28.914747,0.0,13.084402,7.112853
95,1970-04-05 18:30:00,27.706419,0.1,11.681987,5.2591076
96,1970-04-06 18:30:00,28.425163,0.0,11.252519,6.8030887
97,1970-04-07 18:30:00,28.90225,0.0,14.05845,6.9684453
98,1970-04-08 18:30:00,28.833504,0.0,11.966954,7.1048374
99,1970-04-09 18:30:00,29.566835,0.0,14.154915,6.776731
100,1970-04-10 18:30:00,29.948082,0.0,10.1887,6.0010896
101,1970-04-11 18:30:00,31.800161,0.0,12.864649,7.1963897
102,1970-04-12 18:30:00,32.416832,0.0,15.042659,8.010734
103,1970-04-13 18:30:00,33.485584,0.0,16.375053,9.069036
104,1970-04-14 18:30:00,33.29808,0.1,18.161278,9.15106
105,1970-04-15 18:30:00,32.38142,0.0,18.218275,8.166072
106,1970-04-16 18:30:00,31.371,0.0,15.94601,8.216335
