date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,latitude,longitude
10-01-01,Ain Taya,0.0829934937258561,286.6875447591146,0.0176681875018402,6.106833296826154e-06,1.4559324089683893e-05,0.0,2.186916318199413e-05,655.3900764465332,-54.34283464749655,-11.430156230926512,-25.46199334065119,53.940294345219925,0.0,0.0,1.845113985154967e-06,0.0,286.6875447591146,889.6184712727865,234.2284963607788,5.058322377999624,0.0,71.38651072184244,1.203006550080469e-06,889.6362403869629,36.79276,3.05136
10-01-02,Ain Taya,0.0339328128844499,286.3363574981689,0.013591946909825,2.2207117079157493e-06,8.06073007690126e-06,0.0,1.2058373946880845e-05,655.7853108723959,-49.6101879755656,-11.082602862517035,4.840276420085381,29.741976253191638,0.0,0.0,1.1305673481842858e-07,0.0,286.3363574981689,889.9811098734538,234.1957336425781,4.77039776245753,0.0,73.10071709950765,1.7769310138267732e-06,889.9946431477864,36.79276,3.05136
10-01-03,Ain Taya,0.0173555705773954,285.9443291982015,0.0023653462276949,2.5693787941705178e-08,6.582051912573661e-06,0.0,9.310745410099724e-06,656.0912607828775,-65.548130941391,-5.941080498695373,13.228863354523977,22.96495625972748,0.0,0.0,0.0,0.0,285.9443291982015,889.4382525126139,233.34699376424152,4.729158182938893,0.0,95.80367492039996,2.70300031388615e-06,889.4406394958496,36.79276,3.05136
10-01-04,Ain Taya,0.0195390189920241,288.11314137776696,0.0024531712280198,1.1323878429022235e-07,1.065910642334226e-05,0.0,1.412365221919269e-05,656.2808868408205,-53.33079865773519,5.0210379481315615,-4.2100277225176495,34.83598869641622,0.0,0.0,1.8526111715081823e-08,0.0,288.11314137776696,888.6470733642578,232.3662077585856,4.674092461665471,0.0,88.98626400629678,3.3513081821941643e-06,888.6495580037436,36.79276,3.05136
10-01-05,Ain Taya,0.0591508536289135,287.4618605295817,0.0201865457231178,4.647593582755386e-06,1.3192497389506267e-05,0.0,1.9886897325704923e-05,656.4155909220377,-42.78689452807108,-4.772042000293732,-14.75071758131186,49.0510278224945,0.0,0.0,1.905058359360131e-06,0.0,287.4618605295817,889.6583590189616,233.24274158477783,5.058010617891948,0.0,72.31433057785034,2.046805778377348e-06,889.6785067240397,36.79276,3.05136
10-01-06,Ain Taya,0.0497567022064079,286.49272460937505,0.0228287571265051,5.407976815755925e-06,9.74825653277852e-06,0.0,1.640205307467113e-05,656.6923426310221,-54.088521003723145,-9.017271812756857,-13.91039396127065,40.4556605497996,0.0,0.0,8.612601663552747e-07,0.0,286.49272460937505,891.2596527099608,234.5673771540324,4.974011488755544,0.0,71.61018234888712,1.2458206496053963e-06,891.2825421651204,36.79276,3.05136
10-01-07,Ain Taya,0.0505326205088446,286.99289995829264,0.0067020851575459,1.116118389414093e-06,1.4675179158984974e-05,0.0,1.933620230829547e-05,657.0348607381185,-57.74126227696736,-0.0126696449859688,-28.18871234258016,47.69274082183838,0.0,0.0,4.697088306452695e-08,0.0,286.99289995829264,890.76662012736,233.73169161478685,4.6667467057704926,0.0,77.23818848927816,3.544906195429575e-06,890.7732414245605,36.79276,3.05136
10-01-08,Ain Taya,0.0830501483753323,282.7255195617676,0.0121970355006245,3.426218088028084e-06,1.6124415158932e-05,0.0,2.0138428764463847e-05,657.2270785013834,-74.38370714187622,-27.014927728970846,-4.057696775595347,49.67143192291259,0.0,0.0,8.692845568702977e-07,0.0,282.7255195617676,890.1820493062337,232.9550537745158,4.83099570274353,0.0,92.96716566085816,5.877956274010407e-07,890.194341023763,36.79276,3.05136
10-01-09,Ain Taya,0.0964814997899035,279.69649073282875,0.0109449955363137,3.031406289248177e-06,1.839074388954032e-05,0.0,2.142214880980949e-05,657.4249371846518,-70.4321763197581,-22.870640826225284,-14.830818057060242,52.83773059844971,0.0,0.0,2.299117070947432e-06,0.0,279.69649073282875,891.8757692972817,234.45088698069256,5.1244154334068295,0.0,85.56872946421306,9.844141563761933e-14,891.8867599487304,36.79276,3.05136
10-01-10,Ain Taya,0.0385206311320265,282.30733795166014,0.0100601872429251,1.0602128327263928e-06,1.3691086379215753e-05,0.0,1.578745183602829e-05,657.8285382588705,-55.74664160410563,-3.748605906963348,2.549247329433759,38.939750353495285,0.0,0.0,1.3035732570424825e-07,0.0,282.30733795166014,892.7485682169596,234.92013619740803,4.758442262808482,0.0,93.49721539815266,1.0361533559451647e-06,892.7586992899576,36.79276,3.05136
