date,city,LWdown_f_tavg,Psurf_f_tavg,Qair_f_tavg,RadT_tavg,Rainf_f_tavg,SnowCover_inst,SnowDepth_inst,Snowf_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi100_200cm_tavg,SoilMoi40_100cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp10_40cm_tavg,SoilTemp100_200cm_tavg,SoilTemp40_100cm_tavg,SWdown_f_tavg,SWE_inst,Swnet_tavg,Tair_f_tavg,Wind_f_tavg
10-09-01,Algeirs,357.16296971638997,100744.83229166668,0.011646510493786386,299.3763585408529,4.9804135642261835E-6,0.0,0.0,0.0,0.2546125816802184,0.23202600615719954,0.3396381624042987,0.23198174200952054,299.4476258595784,299.64792696634925,299.64792696634925,298.8547688802084,299.6595540364583,236.99541702270508,0.0,205.251131884257,297.18478991190597,4.586803662776948
10-10-01,Algeirs,334.04541460673016,100585.6986328125,0.008999824776158979,294.8139161427816,3.3508898862540564E-5,0.0,0.0,0.0,0.29794116479655114,0.27595786713063714,0.3452034498254458,0.23660019412636757,294.9875253041585,295.65366414388023,295.65366414388023,297.16646321614587,296.4995755513509,174.22934595743814,0.0,153.86582171122237,293.98286692301434,5.166160130500794
10-11-01,Algeirs,319.73438453674316,100507.69833984374,0.007867385514934237,289.1717811584473,4.459024266907363E-5,0.0,0.0,0.0,0.30781604759395126,0.31645122220118843,0.3469286353637775,0.2878335427492857,289.45518150329593,290.5523667653402,290.5523667653402,293.5143707275391,291.8922472635905,120.22505391438801,0.0,106.6801957766215,289.0591899871826,7.283942111333211
10-12-01,Algeirs,306.02504984537757,100604.49075520833,0.00610958594091547,286.4952465057373,4.529255879788252E-5,0.0,0.0,0.0,0.3324757614483436,0.3259435189267,0.34792659406860665,0.30277763617535436,286.8007932027181,287.9069204966227,287.9069204966227,290.5911529541016,289.10736821492515,91.79706970850629,0.0,81.28256120681763,287.2079135894776,6.99727495710055
11-01-01,Algeirs,305.41868896484374,101139.79332682291,0.006406164836759367,285.39808858235676,2.4743893345657855E-5,0.0,0.0,0.0,0.3301225710660219,0.3259225007146597,0.34474515952169893,0.32065269698699317,285.59865455627437,286.38049176534014,286.38049176534014,288.4983079274495,287.23728243509925,99.30963827768961,0.0,86.3214740117391,285.96557337443033,5.086544330914815
11-02-01,Algeirs,297.65337537129716,101190.91764322917,0.006257369408073524,284.8637550354004,4.353503791207913E-5,0.0,0.0,0.0,0.35018897739549476,0.34339509469767415,0.3480270271499951,0.33963076435029504,285.0189985911051,285.65714098612466,285.65714098612466,287.2321605682373,286.2372451782227,140.0383061091105,0.0,119.96187734603882,285.31994578043617,6.220941046873729
11-03-01,Algeirs,307.50647048950196,100996.98427734374,0.006683128717122599,287.64290695190425,2.2167563906805297E-5,0.0,0.0,0.0,0.33624442629516127,0.33322010474900404,0.3497108257065217,0.3340460229665041,287.5576946258545,287.3296700795492,287.3296700795492,287.45656267801917,287.21395276387534,195.05396633148194,0.0,165.7395528157552,287.2770043690999,6.282068264484406
11-04-01,Algeirs,320.0160814921061,100752.83828124999,0.00849032454037418,292.5134101867676,2.178141330659855E-5,0.0,0.0,0.0,0.30733895661930244,0.298633325472474,0.3466830808669329,0.296663740153114,292.2326592763265,291.22864735921223,291.22864735921223,289.7066051483154,290.4304593404134,266.2464164733887,0.0,228.03688144683835,291.3168136596679,4.921593815088272
11-05-01,Algeirs,341.88909988403327,100859.55488281249,0.009531679920231302,294.62575238545736,3.909872557414928E-5,0.0,0.0,0.0,0.3145734544843435,0.31246862982710205,0.3475896461556355,0.2880318333705266,294.3542116800944,293.32979342142744,293.32979342142744,291.56049486796064,292.44079818725584,266.59961217244467,0.0,229.55938491821286,293.22399724324544,5.354423175255457
11-06-01,Algeirs,352.15890452067055,100853.18932291666,0.011104890052229166,298.83909263610843,4.359898213124325E-6,0.0,0.0,0.0,0.2808690037578344,0.28078529573976996,0.3457268005857865,0.2694584808001916,298.4599686940511,297.0353791554769,297.0353791554769,293.7560773213704,295.4861353556315,315.1966468811035,0.0,272.7948888142904,296.24695676167806,4.211606832345327
11-07-01,Algeirs,374.0502463022867,100557.58479817708,0.012256776370729009,303.40708529154466,8.610116471648628E-7,0.0,0.0,0.0,0.2513932544738054,0.2522003329048554,0.34196452721953396,0.24966106638312338,303.0835559844971,301.77909126281736,301.77909126281736,297.4029107411703,299.9744096120198,324.283113861084,0.0,280.1447926839193,300.2002690633137,4.888087207078934
11-08-01,Algeirs,373.7781030019124,100655.61617838542,0.012294542556628584,303.93055839538573,1.1671523201547034E-6,0.0,0.0,0.0,0.24481315327187378,0.24079120221237343,0.3395835605760416,0.2401103885223468,303.69159876505535,302.75390942891437,302.75390942891437,299.2319590250651,301.34083760579426,292.2668088277181,0.0,252.40047683715818,301.2179574330647,4.53768980105718
11-09-01,Algeirs,360.5301869710286,100865.04104817708,0.012724218847385298,300.0334828694662,5.778242717724424E-6,0.0,0.0,0.0,0.2637768317013979,0.23795253696540988,0.3401370156556368,0.2373821888118982,300.0904707590739,300.2641456604004,300.2641456604004,299.4859179178873,300.26621805826824,239.5927629470825,0.0,207.49894008636474,297.844984181722,4.586361251274744
11-10-01,Algeirs,340.7091543833415,101090.64931640626,0.010082007281016558,295.47963803609207,1.4749001365998993E-5,0.0,0.0,0.0,0.2624188087880611,0.2381154002000888,0.3392792046070099,0.23540541430314382,295.64982706705734,296.25304412841797,296.25304412841797,297.4467427571614,297.0064374287923,179.32320772806804,0.0,158.39005699157715,294.20378125508626,4.446362992127736
11-11-01,Algeirs,328.6745994567871,100868.8361002604,0.008185353522033742,290.4609102884928,6.539811593029298E-5,0.0,0.0,0.0,0.3221951752901077,0.30331323867042864,0.34629088677465913,0.2520144313573838,290.72884534200034,291.72841148376466,291.72841148376466,294.5349965413412,293.0096932729085,113.74163398742675,0.0,100.92684446970621,290.4458001454671,6.502116769552231
11-12-01,Algeirs,306.5219064076741,101748.07652994791,0.006900983854817847,286.6149209340413,2.7822659118707332E-5,0.0,0.0,0.0,0.32946855487922827,0.3289650066445271,0.34660626761615276,0.3153925310820341,286.94142468770343,288.1795049031575,288.1795049031575,291.2042021433512,289.55237604777017,100.09624347686767,0.0,88.69244356155396,286.98315760294594,5.655542576313018
12-01-01,Algeirs,293.9430009206136,101738.77900390625,0.006347335746977479,285.08024609883626,1.4485584946063073E-5,0.0,0.0,0.0,0.3124124474823475,0.3166521375377973,0.3416178744286299,0.32055785184105245,285.35925407409667,286.40019365946455,286.40019365946455,288.71859448750814,287.39748128255206,117.91635513305664,0.0,102.49895852406819,285.51037178039553,5.139153619607289
12-02-01,Algeirs,287.3093728383382,101369.73714192708,0.005052196597292398,282.2680901845296,1.3702772086314021E-5,0.0,0.0,0.0,0.3362876647462448,0.33065589182078836,0.3427850081274907,0.32412746449311575,282.5214556376139,283.6458213806152,283.6458213806152,286.52622172037763,284.803861618042,133.28304367065428,0.0,114.09324378967285,282.3742285410563,5.3486272672812145
12-03-01,Algeirs,304.48742790222167,101571.661328125,0.007010603199402491,287.5628604888916,2.5071000050047586E-5,0.0,0.0,0.0,0.31861578623453773,0.3117644737164179,0.3400390323251486,0.30725256614387036,287.4472274780274,287.02309557596845,287.02309557596845,286.80064862569174,286.7150629679362,203.2344753265381,0.0,172.71538416544598,286.9427158355713,4.578512817621231
12-04-01,Algeirs,315.1761692047119,100307.18736979167,0.007586474245181308,289.9900866190593,3.9939485789849026E-5,0.0,0.0,0.0,0.32895641326904296,0.32781817838549615,0.3417030092328787,0.31501136124134066,289.81876818339026,289.203718439738,289.203718439738,288.5196392059326,288.73612416585286,242.7378620783488,0.0,207.97181371053057,289.0422196706136,6.4696559548377985
12-05-01,Algeirs,331.76294352213546,100880.40364583333,0.009214933682233094,294.8945897420247,9.66120469835611E-6,0.0,0.0,0.0,0.2953747124721606,0.28890437682469683,0.33950344858070214,0.28821190198262536,294.529478708903,293.2281440734863,293.2281440734863,290.88651987711586,292.0634068806966,303.8473401387532,0.0,261.65186475117997,293.1070916493734,4.59838529030482
12-06-01,Algeirs,366.8817743937174,100725.55074869792,0.011391480092424898,301.71987241109207,2.4380301084647726E-6,0.0,0.0,0.0,0.259014547119538,0.2543620919187864,0.3364147808402777,0.2549550158282121,301.1532694498698,299.03150329589846,299.03150329589846,294.3837500254313,296.7887170155844,317.837559000651,0.0,275.07562306722,298.9760983784994,4.326315168539683
