date,city,LWdown_f_tavg,Psurf_f_tavg,Qair_f_tavg,RadT_tavg,Rainf_f_tavg,SnowCover_inst,SnowDepth_inst,Snowf_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi100_200cm_tavg,SoilMoi40_100cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp10_40cm_tavg,SoilTemp100_200cm_tavg,SoilTemp40_100cm_tavg,SWdown_f_tavg,SWE_inst,Swnet_tavg,Tair_f_tavg,Wind_f_tavg
10-01-01,Bhopal,291.0037585933034,96102.40584508383,0.004772545403055089,289.6038275307756,3.836962949483536E-6,0.0,0.0,0.0,0.20594563659250248,0.2202637579322346,0.3684304652478152,0.2303039988699725,289.9703252838879,291.4329890119351,291.4329890119351,294.5592554604135,292.763664152564,204.43507492251513,0.0,176.0517410960624,291.2912155399477,3.6896129895031935
10-02-01,Bhopal,317.1786793344388,95826.37420604673,0.005225234294435145,294.7713368733724,2.7809117012419316E-6,0.0,0.0,0.0,0.1782423998645651,0.18346472973443143,0.36821906538150173,0.18794703347290434,294.54824348387683,293.81254769922276,293.81254769922276,293.86942198218367,293.4604420545624,221.94543030591512,0.0,191.2214645757908,294.843120605965,4.397372852496015
10-03-01,Bhopal,338.260752980302,95597.86835461127,0.004513758986646961,303.24237783168394,7.35211470414026E-7,0.0,0.0,0.0,0.1622098621314134,0.16180738178271104,0.36816864769633223,0.1637295275866016,302.6541176462561,300.47718863758615,300.47718863758615,295.51563210216,297.84849374662565,276.4507962048538,0.0,238.6323629549848,301.79886838091096,5.5521617459087835
10-04-01,Bhopal,353.65298278932653,95274.73539126015,0.004657043695896561,307.9135890433459,1.2931445067419358E-7,0.0,0.0,0.0,0.1482684775520631,0.1538822607750573,0.3681372514342873,0.15510684029176466,307.4182077113206,305.5448443405026,305.5448443405026,298.94066855577915,302.5945275469524,303.42534237373167,0.0,260.2138692033969,305.90121670854774,6.030670021607624
10-05-01,Bhopal,379.467245985822,94848.0790221672,0.00709181853543543,310.36241416621016,4.3867767802251366E-7,0.0,0.0,0.0,0.14711302303807522,0.15159198832584586,0.36810783345282566,0.15265060145014184,310.01938871058024,308.64379609891074,308.64379609891074,302.1884852773774,305.9312345923447,304.3075298216286,0.0,260.64303427595434,308.0577661777899,6.692647427562775
10-06-01,Bhopal,406.11072509269405,94773.35065739331,0.012971424129488688,308.19170367233147,1.951002952883141E-5,0.0,0.0,0.0,0.1850097454266577,0.1557920133558715,0.3680784122003773,0.15136784439285597,308.1393789275875,307.85755166774845,307.85755166774845,304.5051328457468,306.8721764417199,279.5257328312572,0.0,240.0815918620039,305.5327062839415,6.305595391649541
10-07-01,Bhopal,411.3974638217832,94685.30771246189,0.01825520665028958,300.22652795062794,1.4516684521042654E-4,0.0,0.0,0.0,0.36595708573979085,0.34122428640238633,0.3682635260549018,0.24905041399283134,300.4938739373431,301.5215201339101,301.5215201339101,303.7980074068395,302.7869368452366,197.18528209469184,0.0,165.45826088509907,300.1518709756495,5.032345450505979
10-08-01,Bhopal,411.808038385903,94815.41927083334,0.018384745846146612,298.65173051415417,1.2031344688627386E-4,0.0,0.0,0.0,0.4143254802357861,0.41673726491569507,0.43134743199358144,0.4207232362492297,298.8607434838767,299.68932103723046,299.68932103723046,301.41979276455515,300.49636090286384,200.1615605548145,0.0,167.36894038440732,299.1519971087696,4.1364605065768325
10-09-01,Bhopal,396.58554222913284,95037.99788014483,0.016125373602882635,297.3337585015025,7.972700762077627E-5,0.0,0.0,0.0,0.41438101001871314,0.41927406570412284,0.45651045768726156,0.43036474560092136,297.65376818277,298.7521514582441,298.7521514582441,300.0256248412094,299.4169834105949,218.7634502969137,0.0,186.30746439801968,298.4605662338133,4.313186487531275
10-10-01,Bhopal,375.383550318276,95383.7302226245,0.013186733715417906,297.7319271738936,5.388745048724639E-6,0.0,0.0,0.0,0.3145050293182939,0.347868419335625,0.4017516404572056,0.3672456171030436,297.82287281315496,298.1806642485828,298.1806642485828,298.9798633916591,298.5160785457952,232.78743136026023,0.0,201.56175410262932,298.0589552158262,3.695395353606076
10-11-01,Bhopal,360.94247293859956,95730.69289094259,0.011861037055969357,295.4886416923709,9.208733423862228E-6,0.0,0.0,0.0,0.2605088510043253,0.3086552259822687,0.376871755119504,0.3232921178687394,295.744289305152,296.7155296821905,296.7155296821905,298.24517298132423,297.51429100346763,178.07822652367074,0.0,154.49887416808585,295.10843618129326,4.1727106154449585
10-12-01,Bhopal,301.9800243532754,95725.60411902946,0.006593586519697483,290.3516331804477,9.954851836877372E-7,0.0,0.0,0.0,0.2114255635628128,0.277880609701804,0.3680962423786399,0.29220355341468396,290.89806673003403,293.0354986733537,293.0354986733537,296.6942682964045,294.8122826552973,187.53223589765344,0.0,162.01049237134984,290.90316304152583,4.25773912425933
11-01-01,Bhopal,279.0328253459154,95850.58141990598,0.004092212152152466,288.9210871254525,1.9962582479045864E-6,0.0,0.0,0.0,0.18357632768045112,0.23104731638620538,0.36539798547945374,0.24281987002710018,289.33505286239995,290.96014565568635,290.96014565568635,294.3626678280714,292.3419936265403,209.13598425020047,0.0,180.09867100599334,290.0483895278558,4.455273758589738
11-02-01,Bhopal,311.65179530198014,95729.9161664761,0.004957555487517237,295.0078254017403,3.1398276728735687E-7,0.0,0.0,0.0,0.16754554937464916,0.18723246488508172,0.36504804415673736,0.19329180218642805,294.8089578519992,294.085086636427,294.085086636427,293.80316487754266,293.6649513864905,234.33069452425326,0.0,201.8871783279791,294.69240759252534,4.60521853551632
