date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg
14-02-02,Bhopal,0.008085730238117247,290.3368968498416,2.0223442827297205E-4,-7.055621058892826E-11,1.2422076114548907E-5,0.0,2.6543989820570054E-5,978.8124114245901,-66.64666475125445,2.351603298894758,26.45980936724965,65.47075019231656,0.0,0.0,0.0,0.0,290.3368968498416,1299.5091359208268,320.6967383283909,6.326349093662044,0.0,160.93132088824018,1.4121984094810789E-5,1299.5093327964223
14-02-03,Bhopal,0.007251266389138754,291.3326136581296,1.8118916251865828E-4,5.435043883728515E-10,1.314986035580423E-5,0.0,2.9146532148022345E-5,977.764641490409,-69.022345496387,3.795682954594372,23.469307040780542,71.8899277710333,0.0,0.0,0.0,0.0,291.3326136581296,1297.0392500714556,319.2745905620296,6.28388612590185,0.0,168.18045882868574,1.5996129341479768E-5,1297.0394251133368
14-02-04,Bhopal,0.0074001183100158305,292.5274679292508,1.5763930071451007E-4,2.2703037103032297E-10,1.4183208330594911E-5,0.0,3.117734266796594E-5,976.638936670815,-61.26414485869369,5.851768361359107,21.65938199051027,76.89892290472015,0.0,0.0,0.0,0.0,292.5274679292508,1294.3958736512716,317.75694941699015,6.236176865856822,0.0,165.67629218683012,1.6993906630029333E-5,1294.3960474526011
14-02-05,Bhopal,0.007536275715025793,292.76717733367667,1.59143707147391E-4,-2.3366073046475424E-11,1.5107682906446137E-5,0.0,3.242049259033667E-5,975.4340737195517,-64.76348328008885,3.3512525950990066,19.548726467582267,79.96515695835515,0.0,0.0,0.0,0.0,292.76717733367667,1291.6381896724547,316.20408115542034,6.187896769221236,0.0,167.62924147815238,1.7312832302949816E-5,1291.6383114946566
14-02-06,Bhopal,0.008066605976252717,293.5713995646655,1.334283896931897E-4,2.870983922100982E-10,1.7128229974628272E-5,0.0,3.48506818729989E-5,974.1512129868918,-60.848675576651964,6.203637915413554,14.115288788225591,85.95921035704573,0.0,0.0,0.0,0.0,293.5713995646655,1288.7284367258958,314.5772487361256,6.124697457968703,0.0,167.13041930470035,1.7722164218911324E-5,1288.728595516546
14-02-07,Bhopal,0.009062721184833443,293.2329483652502,1.097483488289678E-4,2.560847632921085E-10,1.8513331201390197E-5,0.0,3.700461442112862E-5,972.7824625775095,-70.24360003122469,-0.4470606771850489,9.60315898860373,91.27188143691397,0.0,0.0,0.0,0.0,293.2329483652502,1285.5700909374207,312.787665514442,6.0577991624188625,0.0,170.666528732796,1.8491025219013753E-5,1285.570225537308
14-02-08,Bhopal,0.00936850594882891,292.23950756662254,9.359076515525012E-5,1.598612216870933E-10,1.5748082194299858E-5,0.0,3.053567527645581E-5,971.3351685438698,-70.11819954228595,-2.597575131470595,29.523624809776862,75.31624212497617,0.0,0.0,0.0,0.0,292.23950756662254,1282.7072706765277,311.37214604819684,6.059696213501255,0.0,172.35803124962783,1.4787432874294519E-5,1282.707421899811
14-02-09,Bhopal,0.009544400706493513,291.04040297841635,8.289982370633066E-5,1.0901523420572168E-10,1.4745622477646502E-5,0.0,2.7462196072978318E-5,969.8511260738219,-76.39472264390652,-6.139682685456625,37.11635326757664,67.73550963983304,0.0,0.0,0.0,0.0,291.04040297841635,1280.2502926462066,310.3991980824045,6.057662486545439,0.0,175.10482691943156,1.2716464619565733E-5,1280.2503931309147
14-02-10,Bhopal,0.008957956009923019,290.9199287600633,7.729971456853483E-5,5.733580916814062E-11,1.402973104421374E-5,0.0,2.548212910554186E-5,968.3528762445218,-70.81763510200066,-3.1143656542630698,43.736265031302835,62.851674541225286,0.0,0.0,0.0,0.0,290.9199287600633,1277.9894742888164,309.63663386523234,6.053608898224869,0.0,174.29192736866025,1.145234180482912E-5,1277.9895881714863
14-02-11,Bhopal,0.010019157035465586,290.350176152175,7.006240251555242E-5,8.318349477219903E-11,1.5965603213816195E-5,0.0,2.8280780932293306E-5,966.848839178318,-79.18361542089197,-6.027707892220195,33.886262267585685,69.75454933662724,0.0,0.0,0.0,0.0,290.350176152175,1275.6177299933704,308.76889909573686,6.002550215255924,0.0,176.79488568189663,1.2315094913790792E-5,1275.6178036821568
