date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg
23-02-07,Algeirs,0.019823223228255908,285.93969268798827,0.015183255763258786,8.330599676753537E-7,8.722730281836751E-6,0.0,1.2844403897815937E-5,636.8052281697591,-49.33908958435059,0.8148643866181373,39.689442698160796,31.68072474002838,0.0,0.0,6.201912530201525E-8,0.0,285.93969268798827,869.7380986531575,232.9328124364217,4.716499195496241,0.0,121.52317879994709,3.2886143789786123E-6,869.7532320658366
23-02-08,Algeirs,0.02150590415888776,284.9634333292643,0.04166997295493881,2.942998854867558E-6,7.506833549086878E-6,0.0,1.2343556898031237E-5,637.0621999104818,-46.51418455441793,-4.268388990561167,37.046168375015256,30.445384867986043,0.0,0.0,9.598396791451098E-7,0.0,284.9634333292643,868.7913665771484,231.72919521331787,4.857453523079555,0.0,109.7390110015869,1.893724205596451E-6,868.8330589294433
23-02-09,Algeirs,0.0346369275978456,283.37727139790854,0.07450577747076749,8.403994363940606E-6,7.862037260035018E-6,0.0,1.6795224936079953E-5,637.3604665120444,-21.153985182444256,-12.339965597788492,31.17813996473948,41.4254228591919,0.0,0.0,4.278601509592287E-6,0.0,283.37727139790854,872.1872075398762,234.82678457895912,5.389895659685135,0.0,81.41119499206543,5.291932888932631E-7,872.2617225646973
23-02-10,Algeirs,0.031802267340632774,282.6809458414713,0.05192649291517834,4.975212728671371E-6,8.827050040357182E-6,0.0,1.5042154867235997E-5,638.0800949096679,-46.88601120313008,-9.533955089251199,27.817580326398215,37.10147626399994,0.0,0.0,9.81377477889585E-7,0.0,282.6809458414713,874.7974960327147,236.7173085530599,5.036199363072713,0.0,102.26705195109048,1.2398919520724878E-6,874.8493336995442
23-02-11,Algeirs,0.032744273318288226,282.99641939798994,0.006644260879450788,2.4250837486287463E-7,1.0314191717952779E-5,0.0,1.3245258063913447E-5,638.795728302002,-73.92113777796426,-4.123499402403831,28.27275614738464,32.6694324572881,0.0,0.0,8.635267361121561E-10,0.0,282.99641939798994,873.7002001444498,234.90432306925456,4.723661742607753,0.0,130.74297173817953,2.688557702867911E-6,873.7066757202148
23-02-12,Algeirs,0.025899207925734424,284.5161334991455,0.006744873556696499,8.026095647058659E-7,9.768838424406567E-6,0.0,1.3612914638846026E-5,639.2272661844889,-64.72745935122173,0.910847503505647,21.924118590354915,33.576254741350816,0.0,0.0,5.8326494301041976E-8,0.0,284.5161334991455,872.1157979329428,232.8884354909261,4.694517664114634,0.0,121.14219077428181,3.0414666487862026E-6,872.1224538167316
23-02-13,Algeirs,0.026360592758283015,284.8339154561361,0.0038807558080103865,8.197142304193031E-8,9.643358688056954E-6,0.0,1.3107138283885434E-5,639.3973714192708,-80.05213340123494,-2.0172009656826653,30.15871280829112,32.32876053651174,0.0,0.0,0.0,0.0,284.8339154561361,870.6014554341634,231.2041940689087,4.644919445117315,0.0,140.52130419413248,3.381808634609721E-6,870.6054420471191
23-02-14,Algeirs,0.024769397809480623,285.6202003479004,7.926941114419606E-4,5.894228962318356E-9,1.2999223095751707E-5,0.0,1.7607971449251634E-5,639.3159347534179,-80.27356952031452,2.1970147252082826,14.7056774020195,43.430059051513666,0.0,0.0,0.0,0.0,285.6202003479004,868.8179667154947,229.50204073588054,4.5708641598622,0.0,140.61050090789794,4.602854057604115E-6,868.8187896728515
23-02-15,Algeirs,0.025569808832369745,285.8146630605061,4.3495173388995075E-4,2.102432727912884E-9,1.3040903623580864E-5,0.0,1.567514629338499E-5,639.0141749064128,-50.20030660629272,-0.040595521741003414,4.5369777771333855,38.66274922688802,0.0,0.0,0.0,0.0,285.8146630605061,866.8098241170247,227.7956422805786,4.515547493100166,0.0,93.36129312515259,2.632139088613409E-6,866.8102658589681
23-02-16,Algeirs,0.02081890123275419,287.1326407114665,3.174369571449158E-4,9.683653240388777E-10,1.2091246082945874E-5,0.0,1.6672067128335282E-5,638.5923461914064,-69.30775979359946,3.4526927719513574,23.614003403981524,41.12165463765462,0.0,0.0,0.0,0.0,287.1326407114665,864.926676940918,226.3343139012655,4.492492686708768,0.0,137.49369767506917,4.5798533752379925E-6,864.9269719441731
